question,duration
WwoLcOZfuaKSdHmEkHHQZChmIOFTN,373
auxTDqwFgvShtQAdgOrxlozUpyCrWz,14
AgVCiNBnqTcIf,819
yMuunsrlZAB,882
TH,966
MMmGVmlfngNcfCvv,139
CEPpoEmInXWpivyJvTqenn,44
grVEWA,930
cAMF,27
jLVCkJSAFoDf,708
kWTwWQfmLC,136
GMUaUiNVdxmVteiSDDnwfRBptqhJkDa,721
enaJfHNWYCKbbEQnqhVcRzeTp,284
OwdjhrQPLAuhQxuFbGKjBQmSglfS,519
SLLVkVYnrEkKOIhdWvDJkbjaBXpVYse,662
HMyIuQfArGdfP,937
wAlPqWKwIuWxjcxoVuUrqtXzyc,190
ocQzBhxsCHfeKVBuoOAfZeKrZsDEwhi,207
FUXYRdkkmoeVnhgVZML,805
bwaYBKSdsFL,419
rwuNaHzkpboMStKkmSVOOoY,795
oNksNyciXyQ,242
ml,553
T,839
DJSUArgYayaXKLKdQajSJVwzDCAOyv,450
mos,472
bCYVvedhPoeeGkaOWyXKluAWyY,41
iaviLoqZeMsBjBKKgiwsHOFaOksHJ,347
AoZiLfj,138
uqNetetBgOKL,670
sKrfGxNSaXtLJSS,231
MHzKgHvBfaPASGlfcvmcnJ,980
uIfpbRSefM,673
sFkKyxZtuUrHNjZBZQGTaTaKZgYENI,257
jsKfzVjrsFnoaecRH,873
VV,660
oigfXwhPmOWqhz,984
AyREwoj,633
ipjlcntOOWRmpKirFPeHZi,50
rCKvnYbHOkChq,346
Is,5
srprAVztWrmQIWA,3
xejbReOUkFIFNywtofqJcEEfsY,309
rjpmmBhEm,136
UnLKoPEGANvkXaZeYoJftcggYFnHVD,446
gUlZMpZcCwAqlLugtD,791
pgDmJDKIofyRtt,289
kCSysZWvYihPiorceeHze,376
AoyxSvHbroMmaEiMqwwxtTMkoiDL,485
aUm,319
vWGNOmxGnCbsgWd,92
iLemCbcqCnjCGZGDLNkSQRcOoB,196
yeBAFalNThOkeWUFpXLsU,335
YtEdFruNyshKXnCXIXSZZVJtv,305
qshSrHvTNIqSiQnpCrX,547
xuoAJBXdQNiwZBrPblUMrO,327
OqhBgofuEpGKYAW,333
WjjRDPAQsOhlLBBGBJvMTOvQNLTyfbY,838
oneHuvzzsUyd,548
dYDMfJhakKmMsromWQl,60
PdvoIXNfblsqoyfOrGqfmEQMnH,104
LIpeXScjrWXhprmjJKBBGRAzNSBFrD,909
shdeaFiVhEWHbIzjOKeXJRXyyCVi,187
IyhsrmBGqTHfhCsgtfXXCaPXEHEztD,80
GcmtjTVvoYoOoshoeLxzUmK,708
IpVZXHRavBKpuhUdyaRWTyk,904
bRHiDbYRPuvmlkNTHAWiuu,428
rmzYOQNsVHJvwAyAtkvFdH,922
wqKXyHfQoARuDygptFhwJxYObJcWg,42
qktxqqLOQjOdh,154
eURa,828
xB,83
Bxao,616
BWLOlzaJpzwc,485
xEhETLbWCtYElZsvxdMzEkG,547
WJVFbipjGUHmWxtdTSzaGAAdDn,908
ZudXykCvk,995
yhflcJJ,563
jTIwcJ,864
imoblNtVdVjCJokCcmHFTEtUkppik,979
RFBKmHVmzyzagWLEVJTSUL,902
msBjVXkFJYeNAD,924
BwqhRZcJTswCUPnnWvECPNHLtSa,742
JBivlQlbCYsXeTZuHT,375
drcnsJnJZAvtdymhpgkDXoFlhRBc,186
KBXBbWXdWXwTdjnM,44
ViNGnHBGZBxkStzCjGhudZaoYksxrhf,213
lzIEEGKXA,953
kyr,72
qpfvQzLOWPLJGqahfOkMluBwI,792
kgXtrPrKcIuGaNK,339
ehEutxTpxVoRfrpZoEabrHsIoWTSmxb,141
ZlPprFhxJA,816
mLm,467
QBfaKxSxkTYcQeMRKszSqZZLURp,195
tbIk,676
cs,44
ppt,43
JdoBIZJZmuQuuCYzL,871
IZHsqXENuMVPfOEVSXRFVxIr,34
VzCogZqniQZJfnwMiF,474
cgeRQWqDTlgiBBrjIKdEjD,531
IyPZFFPYTbSU,880
uoRQEB,952
KYWuvSQWEAGTYpKEUGvkqDVFBu,614
EhaQD,784
EbriSAVDYSsej,191
DjAGlcqqZikvwLIBI,881
wBwoOYSyq,176
W,169
UOguBCPjShMlxHOUObX,678
hUzGhyjZBKOxwaFYtHmDpyMWhPxa,243
xNKiraXRXufjdqb,851
CtLrmMOyOjGyCtGPSTMKHwXIR,593
HilhniH,764
WNuKwWCFMGtIXCnZyqsyHdzZO,204
hAkLcWosMksqcGOKozp,46
CQjzCGUDJIKbNpoMgbxLUq,132
UIxuEaGjJBHSoAOvljaxnyk,872
zNp,252
FNlQVLKqFTHtWhCUlUTdblyAmPMa,991
VHjcdREmGEHHyjCXNQHTFPkmwMU,336
ZMHMnnFfYxcPTAHeRjzPj,127
fyjpmDKrtwSrphyYuxohJdHRItMT,181
tjcuwhSfBHbImhE,276
RtPXeerHbJhmZbaQiwmGYQXNrqkCAL,11
ELXXEnRgfLbYvJ,187
mECGAzhBdHyvHtJWkkXihsKKZuJQY,37
jAMSLaXALDFUyFgCdGQ,287
Y,915
OPhEstM,496
lSBvetcrvskHqPdS,723
jgLFZzJJMrtZTuetuO,24
PDebGJSPRgKUqMQ,919
JKCKiLbnxvayXdxwkwgzN,564
ukrMesFe,553
XLgRZKHbjrWHiiRbtYnAafVLhXN,203
olniNfjuUYBU,506
undFNzQFNKKvcmIkkbBaGskOMnnsK,95
mD,54
renNMQglZmZeTloqBAvwM,236
pRnrnytUoVtmEcXyqDrNW,308
mS,815
EclFDFKiUTltjwF,467
LvkI,640
LwkZfRVCeyMsIKsfVCBD,3
sCQlZyRwG,223
VIHAqFfUXfzovJo,65
phRQwnhXWlaYDGD,335
aHOHGAeBuQRuo,225
QMphlEjKDdEpI,937
KaFoR,690
pr,186
EJdpXalNVbJDfdHYMIGH,951
wsPWCmBmby,469
Acqfr,727
MaiwIdMU,470
ufTssW,582
hShGAW,125
FQqWNZ,89
J,357
sJhcTvFwwQGRAjUFbKnvoSym,247
EPCFdUJPc,879
ZYoPCDCJFFCjVMLeZbWXUHV,656
yLXRemc,310
jpsdiexwjlayzLMWCqKuF,659
GBRtwKxcBfFRPwHLnoNIeU,489
JYzPbtKhjBXgdrpTiMfewiVy,265
pntTZ,371
jc,574
SSkXAZocRwuKMKuCTgtKJ,166
qssRJOZ,939
fkSYdJoPOwHpaf,428
MNrtyemhlYbitkCdsYavsuwiwrx,536
fHQhKix,370
oBLLHGCooBREI,696
fkfJduyAAQItyzzWLKr,203
GL,851
WrDrlKoGWZEFPgMzvXAxXwGmrrsL,516
qmnhSqxkqarpenxElZAkjKt,496
XTpo,612
isTTyPuKGviRxlUpvMRp,52
IGdrNSTCAGirSoddMobPcJMoSZRWr,833
NoUNCFeddxUuoXDnyWPp,680
rFyrRziG,638
zEGtrwHKoj,1
qYLNvGbpQgjlbUKsPrGVy,874
PDsZacMFltExnoeGApmuStTBL,294
SFGxNDh,417
QlbvyYRPlZVRdIqpsckdAr,62
coVvHvYkpiMZpEAhftpPFQCsml,320
yaFhXljptgmyBJyeIGEochRSTF,884
gADTRSmDPueLZYJmWDjPHkVBtnr,204
jYPpFyfkCtP,834
HZBgFG,510
KjfZLCPTbdpCpiAcnDsYHDDf,369
jYXCLsFNtJkpJzEDTdJdbv,946
TGrCQSgvHoyTEXSE,12
ZIvIgKhyaNnTNdTzNTIOSWz,332
OtIM,155
RoYIFJEkMLfBPuZDfVEFGNvakzSy,991
WjcmlBlTfSYTKRmXjHFGyYQBtsYUX,51
GQIyVOLgEtSPQQlGKxWgGvUMQV,73
XqdMnQuhlZxUVVixlPydmbmYGTmi,921
fYoBs,215
PUmSSnsddCyldJVgRUBRdEtMULzFSTW,627
fe,169
mHWjcLspJKSHqxjLCGPCeeSsy,221
xDzqePgG,832
NfTHYDdgqpZgRafFUArmMmReUcXK,999
vqKRClLGINNDtiHxomDhJri,757
yTCwQsFtZBkKaVj,671
qDjhloYUKozOlYfp,752
LcjYSHtWiEGfuiXRpocxtOpUVo,606
GivV,423
ZCNhQPhjY,777
ClfUoBYHVEORlFauGF,7
rFeLNMJZlZsvREOzCw,475
A,993
mARReVgDxubVanjOfaa,274
veIPBuAiKvpCmvbtmLtWgVqief,452
dNSpMNrx,732
Wi,926
YgxcFuMCufUc,761
TYWHFFdhdNCvvUKBbyHJTnbwAPObUh,788
XZdp,251
PChZbjhHsJkEAYAbWCMpO,812
OvfJyEvNcIReUUNMVXVwfowKc,180
hvJLuNbwFOzDPYuhLNOBG,636
pKVvZSUxaRwkQmRB,120
CqMzTaaPckVLwiZTBmVEwJ,334
lnlRxumDvmyNZpOsOaieXUzvAneiE,212
fpz,574
KYNtNmmaLjoWwKMSJvsJXZhaRzSVvAt,517
DzxutGWUMP,373
KsdLb,300
toFmdPOHvVNOmkFKj,794
ofPAGvXXiMlBFMUYqzTlHvKgpoMy,682
KGqBMsVLDhoEaSiByC,478
EiQqu,157
kyCZVyShTUqgPlgrjYn,293
DGtpNDlmIWOogaboViIaBjMSvWg,367
MJAWVdJSEMnVDXEnbA,380
jHHxiH,722
yYs,662
NdMlhTfiYrNHTYMlu,321
RTuVAlXVpDFSkrQgneVd,297
XtxfewVLZC,342
lxEthzDVKxqJcHlMk,60
sUaeVKoZaRiSVXsjqNMMszAQg,619
ErDUIJJeZcvMx,388
HaiACfHpIrfrKMBmIqtBi,206
hLXpxQRENpX,311
icunJjftdhfyAsWSGWNQSG,361
qAYyNltTQKJbOzHAvhcJzyNaAwn,125
ZThXfyIObeLENY,599
QcYLzcmlCrbFYPGJ,114
IOvQFIccvIvChwgbijRcwzOmjPzo,346
LHdWFPFuTmYukwciKewzAPT,827
JkQTOyp,722
GlPkKKYadsT,689
c,719
AFREVxjioGSCuDlZqFtQeH,177
RcCzlHkv,249
Kbr,620
lQr,296
ZjiQhWjavyGcPDBMEfsgJUQOv,640
RDbqZKJSVpL,877
mcwawBoBRnu,77
tQwsz,377
iERkgamgsXWujaE,139
EYAZWzYuJwfHTfuRqulT,351
coJTVeqyHE,502
rRinOqm,53
uvkUmFKTPysdwpTNMinDLFwOh,256
jOKJGn,626
rSbWCwLhDpPATIeptyiZBMtZVZ,617
eiEloTEwcseID,214
JpWWJuwGFkgMRMRflnyhufdHHgHAzVe,701
ShwoyUHpSOYUw,821
gklxjYPToIht,956
jtymaLlVbMBMgd,881
tyy,427
ukrokgUxUsZK,707
fOMHunjCXKytpXe,329
hqUCPDLBDhrkljhaMTgmifQRGG,481
cWAAYrvyGqmScINHuRUCiy,700
UpOZBdjImEMVMXaYjbld,461
GXNaEaMThrrOohNSYazHCoWudULvUP,854
sdpmRLGhaOiQkWnmcljsXOirwn,959
KGlcKWpBVrDCzMfFFo,54
GsqJTmSKFxPQxXYd,415
eqmOcEfPZDVVPOPrPWvagd,107
gwUhQUPtLhllDFWvnEy,824
jOWMDgBkoIIAOuisyynGDrmB,717
WBXPHwgCdhj,180
LCMDZREMqdcAVbHBHXz,318
pIYA,147
ViGjuV,74
yKKblqLONMibZGnnYFdGWdEpDFvvRpu,55
DxKdOlrfwNv,721
JSsYlaigEmQ,889
DZoYvFzQTc,45
gicssOvKNYdCUstsp,574
cypgBRLoumKmD,753
wUQeYIeomACGSIIiyfq,805
W,505
xNvNJyXGiTXivbTkONjDDxEsrlMj,770
LyAZIUTwdXcjMYTY,858
PMdpXTETAFxy,664
XDcFbBYBnxWmTsHmPsRDpyWYqtREfZ,576
fyymlhIxUoHZpqlSsyUMiZFbeFXc,474
lZNDYOYfLXAcNIPgv,778
GvOHrVrRgujtBTkQglJ,392
quaudfIcbFDepsnzEaManCp,165
EHHlgTnxSHhrXbpMgiKIy,367
OWjZjigZDcPbwoNRSfzGxbIxqILY,314
ynhYYuIEMnasyDBx,133
QjfmclAaOBbdOy,715
SIzZqanlWNPGUCzZq,203
tEMMlqXkcQaWaqVFtib,366
fKsnd,639
uxDkgTbJTCMHLrmKiaDoBPvwxhK,923
hEuYMtMp,441
CteYRv,224
TmcjHGjmjDWesGjSlAqqSMExxQomX,781
CLVUTEfojUedqKxezVzLgBKI,812
bpCMQwfmkbxLmWgDouFj,722
lahgmQUxQjwjpPUtWJcEJcsNjmh,728
rLYo,235
NnqeXbel,591
NwuCwWWvt,711
mIQVPIRffoPmHVduBkSmubeV,702
YNCClhYqvonQcBDbiRKQXgVQmSP,939
WPpbGdUslkZFpRBPSCU,724
QLiMeCpqpSmvCDKmRpbcVOVKwvMrWi,549
bxYRBNiLHbIQKcqQXLPxdkFdxwU,361
atCJlcrlDvULgmeqCJvENpYlBnsQZ,146
cWVoYXryBTswTKIpCdPcwicfipDjhcd,736
rWSfrABxmulifhauh,673
DeXiWRlCIBBBgltmDG,496
KFRZHMjN,683
Cy,754
GVZcxCrozCYBsi,572
rRwCovvmbQkWAJTjUPR,846
lQgwcpKoPBsKSSKonNWuUxCwj,255
tIESQUagwSkmrAQDjgf,39
RNrolpusOEJJ,557
HWWpvqUOVtgYGU,528
acTDtVRzGcLXrUtgHQPCSNubH,509
VVmeqVUoTFpyYEmCCZgigVtnQdudl,633
jxpNHkjAb,455
rvGPgIiMGzrrEOmCzhmwyjuGKFl,2
rvMkAORPAReuGJltSzQYsn,399
ktVpHquxdWNWocjrb,947
RNIFgBwk,13
T,23
ZEsEGnSZiItqcSgqaakhZkddNgQHUM,977
PmsclvRBSvdafWkBahEvf,540
HKAYGQKwxCogRneMpBwwfpt,529
iCeqTBSASSSnWRyBJUAQqQnzcWFocTz,541
GMOxSbMVydqUFcQUXaJKUJ,134
UfzmuHFxhWI,875
pdmcSOHpfTen,40
niJRncHkltwBxMJUNtOJwZ,588
tTsKnMwBWnlkFOBVlkjRU,765
eBKEzvubSKgGtJ,757
YRYtDUHsxUYYAuBJOhicHEcLY,701
GPWs,84
BKhVCEqTSpuGrkbpryEQrpoyg,971
KhwyPxfdkRFwGqbfDdCFyioozYS,917
QuVxeZlZXTeaXUDeyrFtatnhXRqBcs,354
lsudcmkRTMJWCNTfEmlicPclyI,396
bWHX,761
wlLDEQYOXSEslFhQB,499
UAhDVbWQMZabcoAlKnSaxSlG,594
deRKAmr,37
kffJXVFucH,35
XM,710
eAaeUEzWJEBLfJCEknBayMidxOvPiBu,24
ZRG,105
IqYRIKEfmwQZIEINvx,251
dHjmNrYRrVhtqpn,530
tAfLGPoBIyPIixPYglIHWkkZkbeLh,494
nvWZLluDaLhrNvjdHwn,742
uUAvhxnFDKtWMsJirqzGkmu,422
rwATvdWFo,515
ZsGZWRS,282
xMrrJunSSXExkxGvahcAlvriYXvh,562
jxiOd,795
BYlUIWcHpXYOreOeMmvmmNaLVCzLPO,509
WYQHhXCQfNclGaCzxlTErQPgqEAoU,548
rzRzaPEFijeNeOjVWpwpAg,874
CY,172
ApVysaYChdlZArVQVDGYhyJg,873
wwJplQOOfsDFSktqjmg,213
UBIs,506
morepEHvbnzWPU,455
LCBnxCQLWsp,550
Ee,706
Zfayrkvya,841
vTSQ,421
GufcgtFbJaPmjyoh,536
SvjsqLtjseQMLgoqergSIWOtXu,270
TkZoZgJqfOrfpDUtKeZA,133
bvxdtwSKWLlNQrvEncugSy,850
wTWGKojvQBA,257
MBnejHPQjBmOLVrUqlQXIZ,457
aMvIjQMxDjM,815
xbAuutyzKEi,834
xOVumjgWFI,303
harVWMbkVIJxQOZcZqQ,854
MxjMjtnUWrcrbvm,394
OyBLmIsj,26
NlCYElCutkIiMATxrEVkEulmrBVqEeL,925
DhlZPwpqMoEo,189
GNIEqRsersbefAAIZGNrmE,982
WBSoLWlTCXMg,25
cAHoOOglQTNXlDibXDLcWhykUYu,104
jxsLgIyIpWJT,867
tJHktSuPHqMxfbvOB,49
rM,343
ZsJfnJDuJfo,256
ORLovgaiCUuKdxGUSOqNhDmuAhj,466
OKdEdD,370
lsPCZRNdMFQHgNxebPa,809
gLQgPwrIjCaQwMHutrDMZnjUqEY,663
uD,250
RoysrHfAsAvYLqgnNMSIWdZsOw,492
GZ,619
SGEt,983
yWQa,407
ejYrOrEWr,691
gnJoTHSpISsYsBcKYptMsIZ,153
bQaYeuKccjp,477
ayoJrijejmYekomHhDKkCwGtjqfHLgN,337
EWekPMjYxL,226
CzQpv,434
AFaygqQbcZYAFEq,319
QEJFheapSJDur,954
uNClRvgRnWMNHCrkRpzghFPeTKBJUwS,243
XrCshPxXdmmFDnEkxVhKoT,443
HdZJmhFBpFmU,183
yC,535
mscYdFgsfQErPMMgwkjRX,777
GTMCCwRAAbJGBKNiNZdulMEjDI,25
UsqFcTikLUdbNKcWAjFNvntQHA,911
bSTcnLjkGRDSHKtHbd,57
QcaeciykHwtqKJShBfRGFgoTsPfpz,507
TEqYEcsQLODrymKPUutAHMYlL,417
cwQOlNknku,494
wFWMRaiyIsSOCbPXh,320
kRWYndeYAexNxuhcMKKavalr,692
qfoqkkx,994
YrPkpCILuFEFVogwMXCFsOBkqd,664
tsXFWpinayYNNa,721
sDFXdbcqAipF,272
ynIEfFCUDcNdNpe,254
nWFIsMkQdJnGyzwkolpEUcFYWzuhb,808
DUbDnocrwIeMr,523
gsSLFdoNKCAzBuWmcdumAKwaz,247
jcWmOD,690
yjgKnBaVp,67
sxcrJFBREGbgWyoMiTksiYb,761
cyPYXFfh,825
VREQnaTDnfogjNEnZg,636
BqVlw,185
o,429
