user_id,following_id
283,353
358,613
422,151
355,761
825,7
148,141
826,644
204,199
154,519
460,886
50,678
541,676
