user_id,follower_id
339,393
241,310
978,596
705,951
280,249
62,968
408,669
410,776
687,170
574,578
774,312
644,752
940,359
372,138
682,981
569,829
939,89
991,242
618,933
549,980
981,411
275,143
603,615
214,960
903,245
117,354
313,618
304,48
271,175
483,44
251,910
67,8
542,138
128,303
243,646
213,933
238,336
784,319
537,230
775,613
34,392
444,790
952,482
336,90
291,693
56,810
862,26
272,606
590,216
636,368
342,287
906,730
533,903
799,40
370,578
120,274
903,747
112,945
900,612
667,951
143,978
668,784
56,682
106,946
350,371
580,987
393,724
426,428
912,305
792,403
513,689
722,917
629,908
821,667
61,674
962,878
419,428
912,587
580,198
404,422
736,22
76,433
379,443
451,539
831,423
708,226
903,303
714,935
541,664
955,901
108,932
779,873
525,900
301,765
601,370
70,90
973,801
529,559
626,808
780,89
762,288
525,231
558,512
501,330
383,596
678,172
253,262
305,596
347,540
877,271
744,832
391,89
23,804
193,329
977,3
907,413
660,637
175,663
382,854
273,7
958,859
707,577
414,686
126,710
962,649
250,723
879,687
893,514
577,916
388,877
519,29
868,88
363,498
39,475
805,973
861,392
959,558
435,935
844,317
577,658
699,252
557,565
238,646
936,567
104,446
759,29
360,673
94,177
213,979
37,101
213,885
145,433
161,282
632,223
43,918
58,995
555,605
108,872
352,586
852,291
368,332
617,954
724,840
412,55
755,369
258,186
328,705
816,811
889,814
661,765
155,791
298,914
187,685
489,226
613,184
557,268
125,985
837,240
59,902
227,255
119,977
609,740
169,832
897,55
539,106
120,842
110,854
572,925
699,644
499,854
932,698
227,668
178,109
825,905
126,658
567,146
6,723
266,275
6,16
726,257
612,281
501,362
88,852
843,566
896,6
37,834
552,314
596,20
993,41
300,934
657,394
159,155
705,453
425,333
338,742
663,748
699,592
133,396
498,763
256,477
224,815
234,584
226,457
862,946
551,70
782,571
192,510
125,82
501,15
432,287
836,745
897,420
41,614
970,504
247,328
942,310
514,166
331,735
817,533
264,938
904,180
64,197
699,743
667,844
37,218
726,736
738,475
945,884
696,898
302,748
564,737
698,734
244,580
305,469
860,317
423,399
798,458
307,442
666,72
283,658
172,213
144,600
323,964
903,829
602,579
865,37
894,907
614,953
61,736
573,756
279,377
570,677
700,780
227,762
397,316
975,919
603,299
697,846
743,502
444,61
247,344
727,763
329,299
343,478
206,384
402,328
449,460
493,34
340,672
647,685
537,75
872,315
625,938
61,578
337,162
419,493
181,636
865,616
997,281
576,485
407,597
57,335
956,388
502,984
770,450
955,541
453,72
928,780
308,395
315,882
322,139
920,996
375,623
429,245
560,421
522,555
846,214
439,949
405,581
697,761
511,11
88,230
230,304
880,561
203,198
663,47
162,451
981,460
180,982
244,6
37,247
973,261
778,37
432,572
754,953
217,203
975,860
102,744
918,444
693,585
118,217
175,89
852,642
714,368
492,368
937,872
17,608
297,472
292,652
822,827
492,456
705,398
402,440
166,155
910,670
633,755
816,490
884,291
597,100
263,693
498,97
710,132
820,545
584,519
536,513
622,35
388,492
563,276
572,671
318,743
991,32
43,612
625,861
359,779
174,671
638,632
592,649
953,189
979,777
825,493
223,225
205,6
205,405
446,833
876,444
638,67
340,166
916,966
697,334
28,586
588,292
92,668
382,593
947,634
921,543
736,97
228,894
206,988
140,843
444,431
298,739
606,282
850,35
712,491
251,656
532,592
98,961
565,128
177,278
371,44
969,605
892,814
114,34
187,501
171,104
586,49
666,176
935,714
177,179
445,912
658,54
93,923
983,740
954,408
156,617
796,415
256,273
829,314
381,691
239,483
512,177
699,23
433,535
223,442
569,196
769,498
293,953
456,959
938,402
970,222
130,532
814,96
602,375
215,182
721,740
200,464
986,959
30,995
440,365
306,511
887,765
281,24
109,937
875,470
19,10
762,899
434,95
172,319
221,814
166,569
220,667
780,423
926,718
324,311
627,15
89,745
175,322
10,634
893,27
136,962
623,321
495,283
16,483
944,967
104,958
826,990
574,536
599,604
773,709
446,761
125,146
774,406
800,880
277,848
952,808
528,731
28,428
985,952
919,593
676,49
539,651
275,352
849,731
469,56
215,326
158,47
810,622
777,276
537,587
10,422
54,293
156,503
926,532
900,29
204,688
9,998
424,697
697,355
884,138
393,838
53,89
197,934
281,840
36,391
330,636
8,422
486,365
902,919
956,740
380,596
899,831
45,846
461,375
167,582
271,549
24,320
841,307
170,207
847,87
180,131
672,585
360,427
945,989
15,4
660,601
188,821
381,966
39,38
806,993
757,265
108,354
938,784
306,979
750,656
165,142
308,139
904,624
628,363
138,693
841,588
981,7
47,611
554,88
472,831
660,433
824,158
649,318
426,710
638,56
645,379
189,413
525,531
681,356
653,551
934,683
261,852
800,189
229,860
862,992
460,838
895,755
159,40
669,632
380,39
958,86
522,802
457,668
697,118
684,369
686,770
377,507
80,255
457,480
755,96
950,296
116,398
776,777
611,15
691,957
430,893
673,529
276,961
737,927
737,123
428,81
607,446
197,381
441,731
754,915
319,506
15,639
948,872
360,572
166,912
514,61
503,444
967,72
432,578
90,959
847,742
695,930
304,408
357,110
641,479
909,590
672,39
308,917
152,329
820,543
136,242
43,510
43,545
860,550
38,398
527,131
926,106
406,749
953,713
42,962
965,907
902,721
819,715
819,677
273,773
954,449
668,296
223,411
457,186
42,162
892,88
984,668
388,481
837,643
301,488
7,140
207,814
964,824
910,292
744,274
156,895
805,936
661,622
670,700
859,739
622,194
263,313
960,379
441,169
997,52
432,31
853,942
310,941
102,617
450,896
650,258
448,85
880,264
20,595
789,295
114,858
435,278
573,776
104,909
772,895
494,863
674,775
434,948
647,841
916,196
828,139
767,204
881,452
971,776
633,787
723,759
727,961
685,86
169,179
802,883
916,814
1000,293
27,646
878,691
238,198
145,792
135,581
613,752
260,522
581,66
254,16
26,794
780,194
796,308
963,865
948,36
44,644
699,24
35,768
573,441
259,780
916,441
801,29
7,214
808,662
257,720
150,200
612,677
754,889
144,506
131,571
820,802
761,265
817,187
793,668
321,894
738,187
310,279
760,645
507,958
121,808
775,443
127,222
141,225
505,574
496,47
779,137
741,686
254,566
941,857
703,751
730,87
244,469
424,554
956,216
732,283
738,268
472,408
413,938
664,432
10,925
602,963
